city,title,url,image,location
Abbotsford,"Live camera in Canada, Abbotsford",http://www.insecam.org/en/view/622832/,http://207.194.15.97:80/mjpg/video.mjpg,"Live camera in Abbotsford, Canada"
Abingdon,"Live camera in United Kingdom, Abingdon",http://www.insecam.org/en/view/850577/,http://217.181.189.201:80/mjpg/video.mjpg,"Live camera in Abingdon, United Kingdom"
Abtnaundorf,"Live camera in Germany, Abtnaundorf",http://www.insecam.org/en/view/987585/,http://207.89.102.161:8080/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Abtnaundorf, Germany"
Achern,"Live camera in Germany, Achern",http://www.insecam.org/en/view/797198/,http://195.202.55.115:8888/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Achern, Germany"
Adana,"Live camera in Turkey, Adana",http://www.insecam.org/en/view/559716/,http://95.9.96.3:91/mjpg/video.mjpg,"Live camera in Adana, Turkey"
Adeje,"Live camera in Spain, Adeje",http://www.insecam.org/en/view/829971/,http://212.170.102.212:80/webcapture.jpg?command=snap&channel=1?COUNTER,"Live camera in Adeje, Spain"
Adelboden,"Live camera in Switzerland, Adelboden",http://www.insecam.org/en/view/807248/,http://109.164.252.213:8081/mjpg/video.mjpg,"Live camera in Adelboden, Switzerland"
Aelvsbyn,"Live camera in Sweden, AElvsbyn",http://www.insecam.org/en/view/278111/,http://82.99.75.135:80/mjpg/video.mjpg,"Live camera in AElvsbyn, Sweden"
Aesch,"Live camera in Switzerland, Aesch",http://www.insecam.org/en/view/636880/,http://62.2.92.234:80/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Aesch, Switzerland"
Agia,"Live camera in Greece, Agia",http://www.insecam.org/en/view/1010274/,http://87.202.47.190:5000/jpgmulreq/1/image.jpg?key=1516975535684&lq=1&COUNTER,"Live camera in Agia, Greece"
Ahtari,"Live camera in Finland, Ahtari",http://www.insecam.org/en/view/898931/,http://212.213.163.114:6001/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Ahtari, Finland"
